id,type,osmid,name,yes,no,Non-verifiable
http://www.worldkg.org/resource/1286858676,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/1286858676,Дом Шнеерсона Любавичи,yes,,
http://www.worldkg.org/resource/5417908691,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/5417908691,Guerre 1914 1918,yes,,
http://www.worldkg.org/resource/3456414327,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/3456414327,University Boat Race Stone,yes,,
http://www.worldkg.org/resource/806645171,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/806645171,Momunent aux Morts,yes,,
http://www.worldkg.org/resource/3377960776,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/3377960776,L'Eolienne,yes,,
http://www.worldkg.org/resource/1666861070,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/1666861070,Cercle National des Armées,yes,,
http://www.worldkg.org/resource/4511012834,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/4511012834,Alfred de Musset,yes,,
http://www.worldkg.org/resource/370227319,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/370227319,Первым комсомольцам строителям Магнитки,yes,,
http://www.worldkg.org/resource/3708232771,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/3708232771,Black Cat Roundabout,,,Non-verifiable
http://www.worldkg.org/resource/1780603785,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/1780603785,Командный пункт 67 армии Ленинградского фронта,yes,,
http://www.worldkg.org/resource/2363590862,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/2363590862,Seven Men of Moidart Monument,yes,,
http://www.worldkg.org/resource/5768890662,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/5768890662,Stèle à la mémoire de René Terrière,yes,,
http://www.worldkg.org/resource/938409238,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/938409238,Bandstand,yes,,
http://www.worldkg.org/resource/1969629906,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/1969629906,Партизанский Аэродром,yes,,
http://www.worldkg.org/resource/4111630994,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/4111630994,Участникам локальных войн,yes,,
